Section,Key,,,,,,
general,Label,2022-1-27 Braille Trial 1,2022-1-27 Braille Trial 2,2022-1-27 Braille Trial 3,2022-1-27 Braille Trial 4,2022-1-27 Braille Trial 5,2022-1-27 Braille Trial 6
infill,infill_angles,[ ],[ ],[ ],[ ],[ ],[ ]
infill,infill_offset_x,0,0,0,0,0,0
infill,infill_offset_y,0,0,0,0,0,0
infill,infill_randomize_start_location,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
infill,infill_multiplier,2,2,2,2,2,2
infill,infill_wall_line_count,0,0,0,0,0,0
infill,infill_overlap,0,0,0,0,0,0
infill,infill_overlap_mm,0,0,0,0,0,0
infill,infill_wipe_dist,0,0,0,0,0,0
infill,infill_sparse_thickness,0.2,0.2,0.2,0.2,0.2,0.2
infill,gradual_infill_steps,0,0,0,0,0,0
infill,min_infill_area,0,0,0,0,0,0
infill,infill_support_enabled,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
infill,skin_edge_support_thickness,0,0,0,0,0,0
infill,skin_edge_support_layers,0,0,0,0,0,0
material,build_volume_temperature,28,28,28,28,28,28
material,material_print_temperature,190,190,190,180,190,190
material,material_print_temperature_layer_0,190,190,190,180,190,190
material,material_initial_print_temperature,190,190,190,180,190,190
material,material_final_print_temperature,190,190,190,180,190,190
material,material_bed_temperature,0,0,0,0,0,0
material,material_bed_temperature_layer_0,0,0,0,0,0,0
material,material_flow,100,100,100,100,100,100
material,wall_material_flow,100,100,100,100,100,100
material,wall_0_material_flow,100,100,100,100,100,100
material,wall_x_material_flow,100,100,100,100,100,100
material,infill_material_flow,100,100,100,100,100,100
material,prime_tower_flow,100,100,100,100,100,100
material,material_flow_layer_0,100,100,100,100,100,100
material,material_standby_temperature,100,100,100,100,100,100
speed,speed_print,60,50,60,60,60,60
speed,speed_infill,60,50,60,60,60,60
speed,speed_wall,26,26,26,26,26,26
speed,speed_wall_0,18,18,18,18,18,18
speed,speed_wall_x,26,26,26,26,26,26
speed,speed_prime_tower,26,26,26,26,26,26
speed,speed_travel,150,150,150,150,150,150
speed,speed_layer_0,10,10,10,10,10,10
speed,speed_print_layer_0,10,10,10,10,10,10
speed,speed_travel_layer_0,25,25,25,25,25,25
speed,speed_z_hop,10,10,10,10,10,10
speed,speed_slowdown_layers,2,2,2,2,2,2
speed,speed_equalize_flow_enabled,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
speed,speed_equalize_flow_max,150,150,150,150,150,150
speed,acceleration_enabled,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
speed,acceleration_print,4000,4000,4000,4000,4000,4000
speed,acceleration_infill,4000,4000,4000,4000,4000,4000
speed,acceleration_wall,1000,1000,1000,1000,1000,1000
speed,acceleration_wall_0,500,500,500,500,500,500
speed,acceleration_wall_x,1000,1000,1000,1000,1000,1000
speed,acceleration_topbottom,500,500,500,500,500,500
speed,acceleration_prime_tower,2000,2000,2000,2000,2000,2000
speed,acceleration_travel,5000,5000,5000,5000,5000,5000
speed,acceleration_layer_0,500,500,500,500,500,500
speed,acceleration_print_layer_0,500,500,500,500,500,500
speed,acceleration_travel_layer_0,625,625,625,625,625,625
speed,jerk_enabled,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
speed,jerk_print,20,20,20,20,20,20
speed,jerk_infill,20,20,20,20,20,20
speed,jerk_wall,20,20,20,20,20,20
speed,jerk_wall_0,20,20,20,20,20,20
speed,jerk_wall_x,20,20,20,20,20,20
speed,jerk_prime_tower,20,20,20,20,20,20
speed,jerk_travel,50,50,50,50,50,50
speed,jerk_layer_0,20,20,20,20,20,20
speed,jerk_print_layer_0,20,20,20,20,20,20
speed,jerk_travel_layer_0,50,50,50,50,50,50
travel,retraction_enable,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
travel,retract_at_layer_change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
travel,retraction_amount,6.5,6.5,6.5,6.5,6.5,6.5
travel,retraction_speed,35,35,35,35,35,35
travel,retraction_retract_speed,35,35,35,35,35,35
travel,retraction_prime_speed,35,35,35,35,35,35
travel,retraction_extra_prime_amount,0,0,0,0,0,0
travel,retraction_min_travel,0.48,0.48,0.48,0.48,0.48,0.48
travel,retraction_count_max,25,25,25,25,25,25
travel,retraction_extrusion_window,1,1,1,1,1,1
travel,retraction_combing,no_outer_surfaces,no_outer_surfaces,no_outer_surfaces,off,no_outer_surfaces,no_outer_surfaces
travel,retraction_combing_max_distance,0,0,0,0,0,0
travel,travel_retract_before_outer_wall,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
travel,travel_avoid_other_parts,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
travel,travel_avoid_supports,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
travel,travel_avoid_distance,3,3,3,3,3,3
travel,layer_start_x,330,330,330,330,330,330
travel,layer_start_y,228,228,228,228,228,228
travel,retraction_hop_enabled,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
travel,retraction_hop_only_when_collides,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
travel,retraction_hop,2,2,2,2,2,2
travel,retraction_hop_after_extruder_switch,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
travel,retraction_hop_after_extruder_switch_height,2,2,2,2,2,2
cooling,cool_fan_enabled,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cooling,cool_fan_speed,100,100,100,100,100,100
cooling,cool_fan_speed_min,100,100,100,100,100,100
cooling,cool_fan_speed_max,100,100,100,100,100,100
cooling,cool_min_layer_time_fan_speed_max,10,10,10,10,10,10
cooling,cool_fan_speed_0,0,0,0,0,0,0
cooling,cool_fan_full_at_height,0.4,0.4,0.4,0.4,0.4,0.4
cooling,cool_fan_full_layer,4,4,4,4,4,4
cooling,cool_min_layer_time,5,5,5,5,5,5
cooling,cool_min_speed,7,7,7,7,7,7
cooling,cool_lift_head,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dual,prime_tower_enable,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
dual,prime_tower_size,20,20,20,20,20,20
dual,prime_tower_min_volume,6,6,6,6,6,6
dual,prime_tower_position_x,299.41,299.41,299.41,299.41,299.41,299.41
dual,prime_tower_position_y,209.41,209.41,209.41,209.41,209.41,209.41
dual,prime_tower_wipe_enabled,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
dual,prime_tower_brim_enable,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
dual,ooze_shield_enabled,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dual,switch_extruder_retraction_amount,16,16,16,16,16,16
dual,switch_extruder_retraction_speeds,20,20,20,20,20,20
dual,switch_extruder_retraction_speed,20,20,20,20,20,20
dual,switch_extruder_prime_speed,20,20,20,20,20,20
dual,switch_extruder_extra_prime_amount,0,0,0,0,0,0
support,support_enable,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
platform_adhesion,prime_blob_enable,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
platform_adhesion,adhesion_type,none,none,none,none,none,none
platform_adhesion,adhesion_extruder_nr,0,0,0,0,0,0
platform_adhesion,skirt_brim_minimal_length,250,250,250,250,250,250
platform_adhesion,brim_width,7,7,7,7,7,7
platform_adhesion,brim_line_count,30,30,30,30,30,30
meshfix,meshfix_union_all,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
meshfix,meshfix_union_all_remove_holes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
meshfix,meshfix_extensive_stitching,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
meshfix,meshfix_keep_open_polygons,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
meshfix,multiple_mesh_overlap,0,0,0,0,0,0
meshfix,carve_multiple_volumes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
meshfix,alternate_carve_order,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
meshfix,remove_empty_first_layers,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
meshfix,meshfix_maximum_resolution,0.7333,0.7333,0.7333,0.7333,0.7333,0.7333
meshfix,meshfix_maximum_travel_resolution,0.48,0.48,0.48,0.48,0.48,0.48
meshfix,meshfix_maximum_deviation,0.025,0.025,0.025,0.025,0.025,0.025
blackmagic,infill_mesh,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
blackmagic,infill_mesh_order,0,0,0,0,0,0
blackmagic,cutting_mesh,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
blackmagic,mold_enabled,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
blackmagic,support_mesh,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
blackmagic,anti_overhang_mesh,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
blackmagic,magic_mesh_surface_mode,normal,normal,normal,normal,normal,normal
blackmagic,magic_spiralize,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
experimental,slicing_tolerance,middle,middle,middle,middle,middle,middle
experimental,infill_enable_travel_optimization,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
experimental,minimum_polygon_circumference,1,1,1,1,1,1
experimental,draft_shield_enabled,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
experimental,conical_overhang_enabled,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
experimental,coasting_enable,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
experimental,magic_fuzzy_skin_enabled,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
experimental,flow_rate_max_extrusion_offset,0,0,0,0,0,0
experimental,flow_rate_extrusion_offset_factor,100,100,100,100,100,100
experimental,wireframe_enabled,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
experimental,adaptive_layer_height_enabled,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
experimental,wall_overhang_angle,90,90,90,90,90,90
experimental,wall_overhang_speed_factor,100,100,100,100,100,100
experimental,bridge_settings_enabled,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
experimental,clean_between_layers,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
experimental,small_hole_max_size,0,0,0,0,0,0
experimental,small_feature_max_length,0,0,0,0,0,0
experimental,small_feature_speed_factor,50,50,50,50,50,50
experimental,small_feature_speed_factor_0,50,50,50,50,50,50
resolution,layer_height,0.1,0.1,0.1,0.1,0.1,0.1
resolution,layer_height_0,0.2,0.2,0.2,0.2,0.2,0.2
resolution,line_width,0.35,0.35,0.35,0.35,0.35,0.35
resolution,wall_line_width,0.35,0.35,0.35,0.35,0.35,0.35
resolution,wall_line_width_0,0.35,0.35,0.35,0.35,0.35,0.35
resolution,wall_line_width_x,0.3,0.3,0.3,0.3,0.3,0.3
resolution,skin_line_width,0.35,0.35,0.35,0.35,0.35,0.35
resolution,infill_line_width,0.6,0.6,0.6,0.6,0.6,0.6
resolution,skirt_brim_line_width,0.35,0.35,0.35,0.35,0.35,0.35
resolution,prime_tower_line_width,0.35,0.35,0.35,0.35,0.35,0.35
resolution,initial_layer_line_width_factor,120,120,120,120,120,120
shell,wall_extruder_nr,-1,-1,-1,-1,-1,-1
shell,wall_0_extruder_nr,-1,-1,-1,-1,-1,-1
shell,wall_x_extruder_nr,-1,-1,-1,-1,-1,-1
shell,wall_thickness,1,1,1,1,1,1
shell,wall_line_count,3,3,3,3,3,3
shell,wall_0_wipe_dist,0.2,0.2,0.2,0.2,0.2,0.2
shell,wall_0_inset,0,0,0,0,0,0
shell,optimize_wall_printing_order,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
shell,outer_inset_first,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
shell,alternate_extra_perimeter,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
shell,travel_compensate_overlapping_walls_enabled,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
shell,travel_compensate_overlapping_walls_0_enabled,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
shell,travel_compensate_overlapping_walls_x_enabled,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
shell,wall_min_flow,0,0,0,0,0,0
shell,fill_perimeter_gaps,everywhere,everywhere,everywhere,everywhere,everywhere,everywhere
shell,filter_out_tiny_gaps,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
shell,fill_outline_gaps,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
shell,xy_offset,0,0,0,0,0,0
shell,xy_offset_layer_0,0,0,0,0,0,0
shell,hole_xy_offset,0,0,0,0,0,0
shell,z_seam_type,sharpest_corner,sharpest_corner,sharpest_corner,sharpest_corner,sharpest_corner,sharpest_corner
shell,z_seam_corner,z_seam_corner_inner,z_seam_corner_inner,z_seam_corner_inner,z_seam_corner_inner,z_seam_corner_inner,z_seam_corner_inner
top_bottom,roofing_layer_count,0,0,0,0,0,0
top_bottom,top_bottom_extruder_nr,-1,-1,-1,-1,-1,-1
top_bottom,top_bottom_thickness,1,1,1,1,1,1
top_bottom,top_thickness,1,1,1,1,1,1
top_bottom,top_layers,10,10,10,10,10,10
top_bottom,bottom_thickness,1,1,1,1,1,1
top_bottom,bottom_layers,10,10,10,10,10,10
top_bottom,initial_bottom_layers,10,10,10,10,10,10
top_bottom,top_bottom_pattern,lines,lines,lines,lines,lines,lines
top_bottom,top_bottom_pattern_0,lines,lines,lines,lines,lines,lines
top_bottom,skin_monotonic,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
top_bottom,skin_angles,[],[],[],[],[],[]
top_bottom,skin_no_small_gaps_heuristic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
top_bottom,skin_outline_count,1,1,1,1,1,1
top_bottom,ironing_enabled,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
top_bottom,skin_overlap,10,10,10,10,10,10
top_bottom,skin_overlap_mm,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325
top_bottom,skin_preshrink,0.95,0.95,0.95,0.95,0.95,0.95
top_bottom,top_skin_preshrink,0.95,0.95,0.95,0.95,0.95,0.95
top_bottom,bottom_skin_preshrink,0.95,0.95,0.95,0.95,0.95,0.95
top_bottom,expand_skins_expand_distance,0.95,0.95,0.95,0.95,0.95,0.95
top_bottom,top_skin_expand_distance,0.95,0.95,0.95,0.95,0.95,0.95
top_bottom,bottom_skin_expand_distance,0.95,0.95,0.95,0.95,0.95,0.95
top_bottom,max_skin_angle_for_expansion,90,90,90,90,90,90
top_bottom,min_skin_width_for_expansion,0,0,0,0,0,0
infill,infill_extruder_nr,0,0,0,0,0,0
infill,infill_sparse_density,20,20,20,20,20,20
infill,infill_line_distance,2,2,2,2,2,2
infill,infill_pattern,lines,lines,lines,lines,lines,lines
infill,zig_zaggify_infill,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
infill,connect_infill_polygons,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
infill,infill_angles,[ ],[ ],[ ],[ ],[ ],[ ]
infill,infill_offset_x,0,0,0,0,0,0
infill,infill_offset_y,0,0,0,0,0,0
infill,infill_randomize_start_location,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
infill,infill_multiplier,2,2,2,2,2,2
infill,infill_wall_line_count,0,0,0,0,0,0
infill,infill_overlap,0,0,0,0,0,0
infill,infill_overlap_mm,0,0,0,0,0,0
infill,infill_wipe_dist,0,0,0,0,0,0
infill,infill_sparse_thickness,0.2,0.2,0.2,0.2,0.2,0.2
infill,gradual_infill_steps,0,0,0,0,0,0
infill,min_infill_area,0,0,0,0,0,0
infill,infill_support_enabled,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
infill,skin_edge_support_thickness,0,0,0,0,0,0
infill,skin_edge_support_layers,0,0,0,0,0,0
material,build_volume_temperature,28,28,28,28,28,28
material,material_print_temperature,200,200,200,200,200,200
material,material_print_temperature_layer_0,200,200,200,200,200,200
material,material_initial_print_temperature,190,190,190,190,190,190
material,material_final_print_temperature,185,185,185,185,185,185
material,material_extrusion_cool_down_speed,0.7,0.7,0.7,0.7,0.7,0.7
material,material_bed_temperature,0,60,0,0,0,0
material,material_bed_temperature_layer_0,0,60,0,0,0,0
material,material_flow,100,100,100,100,100,100
material,wall_material_flow,100,100,100,100,100,100
material,wall_0_material_flow,100,100,100,100,100,100
material,wall_x_material_flow,100,100,100,100,100,100
material,skin_material_flow,97,97,97,97,97,97
material,infill_material_flow,100,100,100,100,100,100
material,prime_tower_flow,100,100,100,100,100,100
material,material_flow_layer_0,100,100,100,100,100,100
material,material_standby_temperature,100,100,100,100,100,100
speed,speed_print,70,70,70,70,70,70
speed,speed_infill,60,60,60,60,60,60
speed,speed_wall,30,30,30,30,30,30
speed,speed_wall_0,20,20,20,20,20,20
speed,speed_wall_x,30,30,30,30,30,30
speed,speed_topbottom,30,30,30,30,30,30
speed,speed_prime_tower,30,30,30,30,30,30
speed,speed_travel,150,150,150,150,150,150
speed,speed_layer_0,10,10,10,10,10,10
speed,speed_print_layer_0,10,10,10,10,10,10
speed,speed_travel_layer_0,21.4286,21.4286,21.4286,21.4286,21.4286,21.4286
speed,speed_z_hop,10,10,10,10,10,10
speed,speed_slowdown_layers,2,2,2,2,2,2
speed,speed_equalize_flow_enabled,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
speed,speed_equalize_flow_max,150,150,150,150,150,150
speed,acceleration_enabled,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
speed,acceleration_print,4000,4000,4000,4000,4000,4000
speed,acceleration_infill,4000,4000,4000,4000,4000,4000
speed,acceleration_wall,1000,1000,1000,1000,1000,1000
speed,acceleration_wall_0,500,500,500,500,500,500
speed,acceleration_wall_x,1000,1000,1000,1000,1000,1000
speed,acceleration_topbottom,500,500,500,500,500,500
speed,acceleration_prime_tower,2000,2000,2000,2000,2000,2000
speed,acceleration_travel,5000,5000,5000,5000,5000,5000
speed,acceleration_layer_0,500,500,500,500,500,500
speed,acceleration_print_layer_0,500,500,500,500,500,500
speed,acceleration_travel_layer_0,625,625,625,625,625,625
speed,jerk_enabled,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
speed,jerk_print,20,20,20,20,20,20
speed,jerk_infill,20,20,20,20,20,20
speed,jerk_wall,20,20,20,20,20,20
speed,jerk_wall_0,20,20,20,20,20,20
speed,jerk_wall_x,20,20,20,20,20,20
speed,jerk_topbottom,20,20,20,20,20,20
speed,jerk_prime_tower,20,20,20,20,20,20
speed,jerk_travel,50,50,50,50,50,50
speed,jerk_layer_0,20,20,20,20,20,20
speed,jerk_print_layer_0,20,20,20,20,20,20
speed,jerk_travel_layer_0,50,50,50,50,50,50
travel,retraction_enable,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
travel,retract_at_layer_change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
travel,retraction_amount,6.5,6.5,6.5,6.5,6.5,6.5
travel,retraction_speed,25,25,25,25,25,25
travel,retraction_retract_speed,25,25,25,25,25,25
travel,retraction_prime_speed,25,25,25,25,25,25
travel,retraction_extra_prime_amount,0,0,0,0,0,0
travel,retraction_min_travel,0.7,0.7,0.7,0.7,0.7,0.7
travel,retraction_count_max,25,25,25,25,25,25
travel,retraction_extrusion_window,1,1,1,1,1,1
travel,retraction_combing,no_outer_surfaces,no_outer_surfaces,no_outer_surfaces,no_outer_surfaces,no_outer_surfaces,no_outer_surfaces
travel,retraction_combing_max_distance,0,0,0,0,0,0
travel,travel_retract_before_outer_wall,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
travel,travel_avoid_other_parts,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
travel,travel_avoid_supports,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
travel,travel_avoid_distance,3,3,3,3,3,3
travel,layer_start_x,330,330,330,330,330,330
travel,layer_start_y,228,228,228,228,228,228
travel,retraction_hop_enabled,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
travel,retraction_hop_only_when_collides,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
travel,retraction_hop,2,1,3,2,2,2
travel,retraction_hop_after_extruder_switch,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
travel,retraction_hop_after_extruder_switch_height,2,2,2,2,2,2
cooling,cool_fan_enabled,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
cooling,cool_fan_speed,100,100,100,100,100,100
cooling,cool_fan_speed_min,100,100,100,100,100,100
cooling,cool_fan_speed_max,100,100,100,100,100,100
cooling,cool_min_layer_time_fan_speed_max,10,10,10,10,10,10
cooling,cool_fan_speed_0,0,0,0,0,0,0
cooling,cool_fan_full_at_height,0.4,0.4,0.4,0.4,0.4,0.4
cooling,cool_fan_full_layer,4,4,4,4,4,4
cooling,cool_min_layer_time,5,5,5,5,5,5
cooling,cool_min_speed,7,7,7,7,7,7
cooling,cool_lift_head,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dual,prime_tower_enable,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
dual,prime_tower_size,20,20,20,20,20,20
dual,prime_tower_min_volume,6,6,6,6,6,6
dual,prime_tower_position_x,299.41,299.41,299.41,299.41,299.41,299.41
dual,prime_tower_position_y,209.41,209.41,209.41,209.41,209.41,209.41
dual,prime_tower_wipe_enabled,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
dual,prime_tower_brim_enable,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
dual,ooze_shield_enabled,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dual,switch_extruder_retraction_amount,16,16,16,16,16,16
dual,switch_extruder_retraction_speeds,20,20,20,20,20,20
dual,switch_extruder_retraction_speed,20,20,20,20,20,20
dual,switch_extruder_prime_speed,20,20,20,20,20,20
dual,switch_extruder_extra_prime_amount,0,0,0,0,0,0
support,support_enable,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
platform_adhesion,prime_blob_enable,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
platform_adhesion,adhesion_type,none,none,none,none,none,none
platform_adhesion,adhesion_extruder_nr,0,0,0,0,0,0
